Question,Solution
Let $a$ and $b$ be real numbers such that $ab = \frac{a^2 + b^2}{4}$. Find all possible values of $\left| \frac{a^2 - b^2}{a^2 + b^2} \right|$.,"The hypothesis statement is equivalent to $a^2 + b^2 = 4ab$. Multiplying equations 1 and 2, we have $(a+b)^2 = 6ab$ and $(a-b)^2 = 2ab$. Since the left hand side and $ab$ are both positive, $\left| a^2 - b^2 \right| = \sqrt{12(ab)^2} = \sqrt{12ab}$. Then $\left| \frac{a^2 - b^2}{a^2 + b^2} \right| = \frac{\sqrt{12ab}}{4ab} = \frac{\sqrt{12}}{4} = \frac{\sqrt{3}}{2}$. (It is clear that such $a$ and $b$ exist: quadratic formula.) For example, we can take $a=1$ and solve for $b$."
"A cafe has 3 tables and 5 individual counter seats. People enter in groups of size between 1 and 4, inclusive, and groups never share a table. A group of more than 1 will always try to sit at a table, but will sit in counter seats if no tables are available. Conversely, a group of 1 will always try to sit at the counter first. One morning, $M$ groups consisting of a total of $N$ people enter and sit down. Then, a single person walks in, and realizes that all the tables and counter seats are occupied by some person or group. What is the minimum possible value of $M + N$?","Consider the point right before the last table is occupied. We have two cases: first suppose there exists at least one open counter seat. Then, every table must contribute at least 3 to the value of $M+N$, because no groups of 1 will have taken a table with one of the counter seats open. By the end, the counter must contribute at least $5+2=7$ to $M+N$, as there must be at least two groups sitting at the counter. It follows that $M+N \ge 16$. For the second case, assume the counter is full right before the last table is taken. Then, everybody sitting at the counter must have entered as a singleton, since they entered when a table was still available. Consequently, the counter must contribute 10 to $M+N$, and each table contributes at least 2, so once again $M+N \ge 16$. We first show that $M+N \ge 16$. Now, $M+N = 16$ is achievable with eight groups of one, who first fill the counter seats, then the three tables. Thus, our answer is 16."
Let $ABC$ be a triangle with circumcenter $O$ such that $AC = 7$. Suppose that the circumcircle of $AOC$ is tangent to $BC$ at $C$ and intersects the line $AB$ at $A$ and $F$. Let $FO$ intersect $BC$ at $E$. Compute $BE$.,"O is the circumcenter of $\triangle AOC$, $\angle OCA = \angle OAC$. Because $AC$ is an inscribed arc of circumcircle to circumcircle of $\triangle ABC$, $\angle OCA = \angle OFA$. Furthermore, $BC$ is tangent to circumcircle of $\triangle AOC$, so $\angle OAC = \angle OCB$. However, again using the fact that $O$ is the circumcenter of $\triangle ABC$, $\angle OCB = \angle OBC$. We now have that $CO$ bisects $\angle ACB$, so it follows that $CA = CB$. Also, by AA similarity $\triangle EBF \sim \triangle ABC$, so we have $EB = BC/2 = AC/2 = 7/2.$"
"Let $a_1, a_2, a_3, a_4, a_5$ be real numbers whose sum is 20. Determine with proof the smallest possible value of $\sum_{1 \le i < j \le 5} \lfloor a_i + a_j \rfloor$.","We claim that the minimum is 72. This can be achieved by taking $a_1 = a_2 = a_3 = a_4 = 0.4$ and $a_5 = 18.4$. To prove that this is optimal, note that $\sum_{1 \le i < j \le 5} \lfloor a_i + a_j \rfloor = \sum_{1 \le i < j \le 5} (a_i + a_j) - \sum_{1 \le i < j \le 5} \{a_i + a_j\} = 80 - \sum_{1 \le i < j \le 5} \{a_i + a_j\}$, so it suffices to maximize $\sum_{1 \le i < j \le 5} \{a_i + a_j\}$. Taking each sum modulo 1, it is clear that both are integers. Thus, the above sum is at most $2 \cdot 4 = 8$, and our original expression is at least $80 - 8 = 72$, completing the proof."
"Let triangle $ABC$ satisfy $2BC = AB + AC$ and have incenter $I$ and circumcircle $\omega$. Let $D$ be the intersection of $AI$ and $\omega$ (with $A$, $D$ distinct). Prove that $I$ is the midpoint of $AD$.","Since $AD$ is an angle bisector, $D$ is the midpoint of arc $BC$ opposite $A$ on $\omega$. It is well-known that $B$, $I$, and $C$ lie on a circle centered at $D$. Thus $BD = DC = DI$. Applying Ptolemy’s theorem to cyclic quadrilateral $ABDC$, we get $AB \cdot DC + AC \cdot BD = AD \cdot BC = AD \cdot (AB + AC)/2$. Using $BD = DC$ we have immediately that $AD = 2BD = 2DI$ so $I$ is the midpoint of $AD$ as desired."
"If Maya draws two cards with replacement from a standard 52-card deck, what is the probability that the two cards have the same suit or the same number, but not both?","Let $S$ be the event that the two cards have the same suit, and $N$ be the event that the two cards have the same number. We want to find $P(S \cup N) - P(S \cap N)$. $P(S) = \frac{13}{52} \times \frac{12}{52} = \frac{3}{52}$. $P(N) = \frac{4}{52} \times \frac{3}{52} = \frac{3}{52}$. $P(S \cap N) = 0$. Thus $P(S \cup N) = \frac{13}{52} \times \frac{12}{52} + \frac{4}{52} \times \frac{3}{52} = \frac{156}{2704} = \frac{13}{221}$"
"If Alex has a 50% chance of singing on Sunday, and a 70% chance of singing on Sunday if she does not sing on Saturday, and she never sings on both days, find the probability that she sings on Saturday.","Let $p$ be the probability that Alex sings on Saturday. Then the probability that she sings on Sunday is $0.7(1-p)$. We are given that the probability that she sings on Sunday is 0.5. Therefore, $0.7(1-p) = 0.5$, which gives $1-p = \frac{5}{7}$, so $p = \frac{2}{7}$."
"How many orderings $(a_1, \dots, a_8)$ of $(1, 2, \dots, 8)$ exist such that $a_1 - a_2 + a_3 - a_4 + a_5 - a_6 + a_7 - a_8 = 0$?","Let $S_1 = a_1 + a_3 + a_5 + a_7$ and $S_2 = a_2 + a_4 + a_6 + a_8$. Then $S_1 = S_2$ and $S_1 + S_2 = 1+2+\dots+8 = 36$, so $S_1 = S_2 = 18$. We must choose 4 numbers from $\{1, \dots, 8\}$ that sum to 18. The possible sets are $\{1, 2, 7, 8\}$, $\{1, 3, 6, 8\}$, $\{1, 4, 5, 8\}$, $\{1, 4, 6, 7\}$. There are 4 such sets. For each set, there are $4! \times 4!$ ways to arrange the numbers. Thus, there are $4 \times 2 \times 4! \times 4! = 4608$ such orderings."
"Values $a_1, \dots, a_{2013}$ are chosen independently and at random from the set $\{1, \dots, 2013\}$. What is the expected number of distinct values in the set $\{a_1, \dots, a_{2013}\}$?","Let $X_n = 1$ if $n$ appears in $\{a_1, \dots, a_{2013}\}$ and $0$ otherwise. Then $E[X_n] = P(n \text{ appears}) = 1 - \left(\frac{2012}{2013}\right)^{2013}$. The expected number of distinct values is $E[\sum_{n=1}^{2013} X_n] = \sum_{n=1}^{2013} E[X_n] = 2013 \left( 1 - \left(\frac{2012}{2013}\right)^{2013} \right) \approx 2013(1 - e^{-1}) \approx 1342.5$"
"A single-elimination ping-pong tournament has $2^{2013}$ players, seeded in order of ability. If the player with seed $x$ plays the player with seed $y$, then it is possible for $x$ to win if and only if $x \le y+3$. For how many players $P$ is it possible for $P$ to win?","Let $n$ be the highest seed that can win. The winner must beat at most 3 players in each round. To maximize $n$, we consider the case where 1 loses to 4, 4 loses to 7, etc. The highest seed that can reach the semi-finals is $3 \times 2^{2011} + 1 = 6034$. To reach the final, it must beat the other semi-finalist. The highest seed that can win is $6034 + 4 = 6038$. Thus, there are 6038 players for whom it is possible to win."
