Question,Answer
"A class of 10 students took a math test. Each problem was solved by exactly 7 of the students. If the first nine students each solved 4 problems, how many problems did the tenth student solve? If the final answer is a number larger than 1000, take modulo 1000.",6
"Andrea flips a fair coin repeatedly, continuing until she either flips two heads in a row (the sequence HH) or flips tails followed by heads (the sequence TH). What is the probability that she will stop after flipping HH? If the final answer is a number larger than 1000, take modulo 1000.",250
"A committee of 5 is to be chosen from a group of 9 people. How many ways can it be chosen, if Bill and Karl must serve together or not at all, and Alice and Jane refuse to serve with each other? If the final answer is a number larger than 1000, take modulo 1000.",41
"What is the smallest possible total number of vertices, edges, and faces of a polyhedron such that an ant can walk from one vertex to another, traveling only along edges, and traversing every edge exactly once? If the final answer is a number larger than 1000, take modulo 1000.",20
"A classroom consists of a 5 \times 5 array of desks, to be filled by anywhere from 0 to 25 students, inclusive. No student will sit at a desk unless either all other desks in its row or all others in its column are filled (or both). Considering only the set of desks that are occupied (and not which student sits at each desk), how many possible arrangements are there? If the final answer is a number larger than 1000, take modulo 1000.",962
"In a game similar to three card monte, the dealer places three cards on the table: the queen of spades and two red cards. The cards are placed in a row, and the queen starts in the center; the card configuration is thus RQR. The dealer proceeds to move. With each move, the dealer randomly switches the center card with one of the two edge cards (so the configuration after the first move is either RRQ or QRR). What is the probability that, after 2004 moves, the center card is the queen? If the final answer is a number larger than 1000, take modulo 1000.",334
"In trapezoid $ABCD$, $AD$ is parallel to $BC$. $\angle A = \angle D = 45^\circ$, while $\angle B = \angle C = 135^\circ$. If $AB = 6$ and the area of $ABCD$ is 30, find $BC$. If the final answer is a number larger than 1000, take modulo 1000.",6
"A parallelogram has 3 of its vertices at $(1, 2)$, $(3, 8)$, and $(4, 1)$. Compute the sum of the possible $x$-coordinates for the 4th vertex. If the final answer is a number larger than 1000, take modulo 1000.",8
"In trapezoid $ABCD$ shown, $AD$ is parallel to $BC$, and $AB = 6$, $BC = 7$, $CD = 8$, $AD = 17$. If sides $AB$ and $CD$ are extended to meet at $E$, find the resulting angle at $E$ (in degrees). If the final answer is a number larger than 1000, take modulo 1000.",90
"A triangle has side lengths 18, 24, and 30. Find the area of the triangle whose vertices are the incenter, circumcenter, and centroid of the original triangle. If the final answer is a number larger than 1000, take modulo 1000.",3
"Find the number of 20-tuples of integers $x_1, \ldots, x_{10}, y_1, \ldots, y_{10}$ with the following properties: \begin{itemize} \item $1 \leq x_i \leq 10$ and $1 \leq y_i \leq 10$ for each $i$; \item $x_i \leq x_{i+1}$ for $i = 1, \ldots, 9$; \item if $x_i = x_{i+1}$, then $y_i \leq y_{i+1}$. \end{itemize} If the final answer is a number larger than 1000, take modulo 1000.",109
"Find the sum of the reciprocals of the values of all antipalindromic strings of length 2004. If the final answer is a number larger than 1000, take modulo 1000.",512
"Simplify $\prod_{k=1}^{2004} \sin\left(\frac{2\pi k}{4009}\right)$. If the final answer is a number larger than 1000, take modulo 1000.
If the final answer is a number larger than 1000, take modulo 1000",9
"How many distinct possible values of $a_1$ are there such that $a_j = a_1$ for infinitely many $j$? If the final answer is a number larger than 1000, take modulo 1000.",512
"You want to arrange the numbers 1, 2, 3, \ldots, 25 in a sequence with the following property: if $n$ is divisible by $m$, then the $n$th number is divisible by the $m$th number. How many such sequences are there? If the final answer is a number larger than 1000, take modulo 1000.",24
